Emails,Dates
john.doe@example.com,2024-10-12
jane.smith@company.com,2024-11-15
emily.davis@marketing.com,2024-12-20
michael.brown@engineering.com,2024-11-05
laura.wilson@finance.com,2025-01-20
hr@example.com,2024-12-10
engineering@company.com,2024-11-01
marketing@company.com,2024-12-15
finance@company.com,2024-12-20
john.doe@example.com,2025-01-15
jane.smith@company.com,2025-02-10
michael.brown@engineering.com,2024-10-12
laura.wilson@finance.com,2024-11-15
emily.davis@marketing.com,2024-12-20
john.doe@example.com,2024-12-10
jane.smith@company.com,2024-11-01
emily.davis@marketing.com,2024-12-15
michael.brown@engineering.com,
